ダウンロードした時刻：2021/07/04 19:18:38,,,,,,
,,,,,,
,東京,東京,東京,東京,東京,東京
年月日,降水量の合計(mm),日照時間(時間),平均風速(m/s),平均湿度(％),平均現地気圧(hPa),平均雲量(10分比)
,,,,,,
2021/5/10,0,9.4,3.4,43,1006.7,6.8
2021/5/11,0,0.6,2.3,58,1012.5,9.8
2021/5/12,0,3,3.1,56,1018.1,10
2021/5/13,12,0,1.8,94,1013.8,10
2021/5/14,0,10.9,2.4,77,1010.2,10
2021/5/15,0,7.1,3.7,72,1015,9
2021/5/16,1,1.2,3.5,82,1011.3,9.5
2021/5/17,0.5,0,6.1,88,1000.8,9.3
2021/5/18,1,0,2.6,90,1006,9.8
2021/5/19,9.5,0,1.5,98,1008.9,10
2021/5/20,2,0.3,1.6,93,1011.5,10
2021/5/21,5,0,4.9,92,1001.9,10
2021/5/22,2,0.1,3.3,83,1000.6,10
2021/5/23,5.5,9.8,3,77,1004.2,5.8
2021/5/24,0,5,2.9,65,1003.5,8.8
2021/5/25,0,10.7,3.6,66,998.8,7.5
2021/5/26,0,10.4,2.8,61,1005.5,10
2021/5/27,35.5,0,2.1,94,1002.5,10
2021/5/28,0,4.2,2.9,75,1000.8,10
2021/5/29,0,4.7,3.4,67,998,8
2021/5/30,0.5,4.7,2.8,71,1004,8.5
2021/5/31,7.5,8.1,3.1,68,1009.8,8.3
2021/6/1,0.5,9.5,3.1,74,1014.1,5
2021/6/2,0,3,3,70,1015.6,10
2021/6/3,3,7.8,3.2,73,1012.8,8
2021/6/4,23,0,5.2,97,999,10
2021/6/5,0,3.4,2.9,77,1001.1,10
2021/6/6,0.5,0.3,1.8,83,1006.1,10
2021/6/7,0,3.9,2,71,1010.8,9.5
